P_chamber_psia,OF_ratio,Isp_s,Cstar_m_s
150.0,7.275862068965518,286.0791944500623,1598.0125536026144
150.0,7.758620689655173,286.7931027006684,1591.5517839595198
150.0,8.24137931034483,286.9016757764815,1583.8451727758265
150.0,8.724137931034484,286.38427747745203,1575.5730031287314
150.0,9.206896551724139,285.2204356952772,1567.114680150849
150.0,9.689655172413794,283.60762891182316,1558.677748586557
150.0,10.172413793103448,281.8026480555563,1550.373570213595
150.0,10.655172413793103,279.92352261782685,1542.2597191743291
150.0,11.13793103448276,278.028222164818,1534.3632932251205
150.0,11.620689655172415,276.145398095236,1526.6941137493932
150.0,12.10344827586207,274.2930593198788,1519.2523174549988
150.0,12.586206896551724,272.48210011181806,1512.0324925627356
150.0,13.068965517241379,270.718972934978,1505.0266932883803
150.0,13.551724137931036,269.0072538392575,1498.225572232995
150.0,14.03448275862069,267.3486224929866,1491.6195706324802
150.0,14.517241379310345,265.7435217907373,1485.1993255442953
150.0,15.0,264.1915470200003,1478.955782406886
200.0,1.0,201.03530913905763,1104.2251422650306
200.0,1.4827586206896552,213.49040427611084,1177.9464128033587
200.0,1.9655172413793105,222.88024552970643,1241.668552018255
200.0,2.4482758620689653,230.88586814968974,1303.8352286328973
200.0,2.931034482758621,237.63512584590669,1357.6122234109323
200.0,3.413793103448276,245.8062703687873,1423.2106067820566
200.0,3.896551724137931,255.90062620142177,1485.0051237871442
200.0,4.379310344827586,264.51201685822,1529.130594300766
200.0,4.862068965517242,271.05668727379077,1560.8853513843528
200.0,5.344827586206897,276.07625781062205,1583.252271548503
200.0,5.827586206896552,279.9376038364012,1597.6789442865334
200.0,6.310344827586207,282.8575447903104,1604.793487917754
200.0,6.793103448275862,284.97733780971464,1605.6696367922648
200.0,7.275862068965518,286.3966628023549,1602.133032908333
200.0,7.758620689655173,287.18532265100623,1595.9569175940628
200.0,8.24137931034483,287.3722561318164,1588.3762849493853
200.0,8.724137931034484,286.93211384590467,1580.1297308160024
200.0,9.206896551724139,285.814550155774,1571.6342963897857
200.0,9.689655172413794,284.18606084510253,1563.1203905412615
200.0,10.172413793103448,282.3415690737945,1554.7134271868103
200.0,10.655172413793103,280.4184244025585,1546.4796714809427
200.0,11.13793103448276,278.4799573345353,1538.4517783309645
200.0,11.620689655172415,276.5573082708456,1530.6433932267146
200.0,12.10344827586207,274.668987101567,1523.0572876331398
200.0,12.586206896551724,272.82575891678147,1515.6901207235132
200.0,13.068965517241379,271.03373837165935,1508.5352705689147
200.0,13.551724137931036,269.2961278655682,1501.5847156881277
200.0,14.03448275862069,267.6142483497892,1494.8298166195464
200.0,14.517241379310345,265.9882210531646,1488.2619655960395
200.0,15.0,264.41736303928974,1481.8729547131582
250.0,1.0,201.50451920333074,1107.0963750922012
250.0,1.4827586206896552,214.0149310318526,1181.137591747669
250.0,1.9655172413793105,223.3473002146054,1243.8850698822205
250.0,2.4482758620689653,231.25736669961816,1304.6944279006386
250.0,2.931034482758621,237.93857617748483,1357.9230646885144
250.0,3.413793103448276,245.97642564807575,1423.1905844284101
250.0,3.896551724137931,255.93832281563323,1484.9853987252434
250.0,4.379310344827586,264.5259548738015,1529.2106756976834
250.0,4.862068965517242,271.0864415365299,1561.2184336232388
250.0,5.344827586206897,276.1305000984171,1584.0074084501841
250.0,5.827586206896552,280.02562395677785,1599.0314619001208
250.0,6.310344827586207,282.9884098613846,1606.8468951737423
250.0,6.793103448275862,285.1577567968019,1608.3475060732674
250.0,7.275862068965518,286.63076062918776,1605.2405408686693
250.0,7.758620689655173,287.476226399062,1599.3074900491147
250.0,8.24137931034483,287.7228388323134,1591.8378347821747
250.0,8.724137931034484,287.34374350876925,1583.61792371657
250.0,9.206896551724139,286.26425854544004,1575.0961311370836
250.0,9.689655172413794,284.62371662484185,1566.5223110651702
250.0,10.172413793103448,282.7466388928112,1558.033673165667
250.0,10.655172413793103,280.7896755381618,1549.70386887906
250.0,11.13793103448276,278.8178033572734,1541.5704572056613
250.0,11.620689655172415,276.86464687112345,1533.6501863682417
