P_chamber_pascals,OF_ratio,Isp_s,Cstar_m_s
200000.0,6.9393939393939394,283.3497012966769,1576.9658154009214
200000.0,7.08080808080808,283.62537713983573,1575.1498430228974
200000.0,7.222222222222222,283.8429081356685,1573.184191465121
200000.0,7.363636363636363,284.00388082467504,1571.0982182831651
200000.0,7.505050505050505,284.10960259486484,1568.9167535223564
200000.0,7.646464646464646,284.1611073325164,1566.660681020167
200000.0,7.787878787878787,284.1591708630352,1564.3473044340772
200000.0,7.929292929292929,284.104337311366,1561.9911620020923
200000.0,8.07070707070707,283.9969914433963,1559.6043468454127
200000.0,8.212121212121211,283.8389050857037,1557.196788274865
200000.0,8.353535353535353,283.6309949930342,1554.7768453662177
200000.0,8.494949494949495,283.3754909510389,1552.3513930407437
200000.0,8.636363636363637,283.0762396184897,1549.926107677891
200000.0,8.777777777777779,282.7386258465234,1547.5056817783534
200000.0,8.919191919191919,282.36889288171454,1545.0939556516787
200000.0,9.06060606060606,281.9727783004708,1542.6941225945366
200000.0,9.202020202020202,281.55693198049397,1540.3087481183832
200000.0,9.343434343434343,281.12451047344257,1537.9399267435563
200000.0,9.484848484848484,280.67941906604244,1535.5893298685671
200000.0,9.626262626262626,280.2243782789725,1533.2583151779027
200000.0,9.767676767676768,279.7615231764801,1530.9479564065603
200000.0,9.909090909090908,279.2926242257361,1528.6590516069516
200000.0,10.05050505050505,278.81788695854175,1526.3921612341746
200000.0,10.191919191919192,278.34116787551864,1524.1478275499987
200000.0,10.333333333333332,277.86075485555136,1521.9262984266782
200000.0,10.474747474747474,277.37820130375445,1519.7277515984622
200000.0,10.616161616161616,276.89411297311653,1517.5522488145912
200000.0,10.757575757575758,276.4090172351263,1515.399813687263
200000.0,10.898989898989898,275.9233629097058,1513.270387272205
200000.0,11.04040404040404,275.43754675314744,1511.1637643510162
200000.0,11.181818181818182,274.9519242866014,1509.0797964306576
200000.0,11.323232323232324,274.4668158601644,1507.018259633978
200000.0,11.464646464646464,273.9825132034336,1504.9788976049192
200000.0,11.606060606060606,273.499280378237,1502.9614135175398
200000.0,11.747474747474747,273.01737059103993,1500.9655322756967
200000.0,11.88888888888889,272.5362995268076,1498.990919417223
200000.0,12.03030303030303,272.057919396413,1497.0372421620086
200000.0,12.171717171717171,271.5814560149831,1495.1041583380058
200000.0,12.313131313131313,271.1070892901432,1493.1913191582373
200000.0,12.454545454545453,270.6349865076851,1491.2983715821279
200000.0,12.595959595959595,270.1652991094708,1489.4249471411856
200000.0,12.737373737373737,269.6981761239521,1487.5707164874927
200000.0,12.878787878787879,269.23374449244517,1485.7353113474564
200000.0,13.020202020202019,268.7721227233004,1483.9183788557948
200000.0,13.16161616161616,268.31341800947035,1482.119554795668
200000.0,13.303030303030303,267.85772657272383,1480.33852283717
200000.0,13.444444444444445,267.4051347176068,1478.5749267751203
200000.0,13.585858585858585,266.95571550488444,1476.8284183950632
200000.0,13.727272727272727,266.5095425352873,1475.0986921718124
200000.0,13.868686868686869,266.06667136486664,1473.3854133692157
200000.0,14.01010101010101,265.627152713115,1471.6882597502588
200000.0,14.15151515151515,265.19103002645033,1470.0069230237273
200000.0,14.292929292929292,264.7583398848741,1468.3410988279827
200000.0,14.434343434343434,264.32911255952376,1466.6904900873499
200000.0,14.575757575757574,263.9033695107968,1465.0547936330458
200000.0,14.717171717171716,263.4811358755863,1463.4337502830808
200000.0,14.858585858585858,263.06242282071855,1461.8270715758617
200000.0,15.0,262.64723962727714,1460.2344880544554
300000.0,1.0,197.75977710187234,1084.0374420903881
300000.0,1.1414141414141414,201.8228004315644,1107.0808717439256
300000.0,1.2828282828282829,205.41011286505824,1128.2526094895638
300000.0,1.4242424242424243,208.69751759050357,1148.5887360318088
300000.0,1.5656565656565657,211.80732901633837,1169.0636098421246
300000.0,1.7070707070707072,214.8066644304406,1190.4018524338876
300000.0,1.8484848484848484,217.7118747198563,1212.5706357126132
300000.0,1.9898989898989898,220.51047874957814,1234.8471422151724
300000.0,2.1313131313131315,223.18612498493673,1256.4697066607198
300000.0,2.2727272727272725,225.72953127358295,1276.9968565546508
300000.0,2.4141414141414144,228.1386416153095,1296.2712703750465
300000.0,2.5555555555555554,230.41608417092525,1314.2918712173882
300000.0,2.696969696969697,232.5670099794314,1331.1250846841958
300000.0,2.8383838383838382,234.5978957207205,1346.8608099053388
300000.0,2.9797979797979797,236.51572134557094,1361.591598537654
300000.0,3.121212121212121,238.32888612536715,1373.453779148873
300000.0,3.2626262626262625,241.3255591147288,1398.9430089314742
300000.0,3.404040404040404,244.64530547991342,1421.9283735924773
300000.0,3.5454545454545454,247.9547240490612,1442.516904346218
300000.0,3.686868686868687,251.18689283753534,1461.0187695328063
300000.0,3.8282828282828283,254.31246016436734,1477.6697354753376
300000.0,3.9696969696969697,257.2402633541684,1492.6544560926554
300000.0,4.111111111111111,259.9167462574757,1506.1246826199847
300000.0,4.252525252525253,262.36023862638626,1518.2109475261946
300000.0,4.393939393939394,264.59557675373264,1529.029510980913
300000.0,4.535353535353535,266.6448501025505,1538.6853170050422
300000.0,4.6767676767676765,268.52668596972234,1547.2726795427072
300000.0,4.818181818181818,270.2568401088856,1554.8740927345689
300000.0,4.959595959595959,271.8486403909852,1561.5596499992805
300000.0,5.101010101010101,273.313395106533,1567.386362868178
300000.0,5.242424242424242,274.660722813292,1572.3993837175535
300000.0,5.383838383838384,275.8988362845586,1576.6347787640836
300000.0,5.525252525252525,277.0348068596323,1580.1233996429298
300000.0,5.666666666666666,278.0747670020943,1582.8958796754625
300000.0,5.808080808080808,279.02415816309855,1584.9870771872481
300000.0,5.949494949494949,279.8878564823368,1586.438708904708
300000.0,6.090909090909091,280.6702970249829,1587.3003273386605
300000.0,6.232323232323232,281.37553865325503,1587.6275636877492
300000.0,6.373737373737374,282.00730247913583,1587.4798005207224
300000.0,6.515151515151515,282.56959037308326,1586.9171537033972
300000.0,6.656565656565657,283.06404912974176,1585.9977166047715
300000.0,6.797979797979798,283.4943261662045,1584.7755939322265
300000.0,6.9393939393939394,283.8628909701877,1583.2997160934617
300000.0,7.08080808080808,284.17190580106814,1581.6133815482967
300000.0,7.222222222222222,284.423234069364,1579.754227188772
300000.0,7.363636363636363,284.6184450908382,1577.7545220450568
300000.0,7.505050505050505,284.75882041274855,1575.6416964087189
